,valence_image,arousal_image,dominance_image,focus_image,participant,stimulus_image
0,-44,69,215,199,LLM140,TTI_image_surprise2.png
1,223,158,-240,-223,LLM140,TTI_image_pride4.png
2,-193,-20,-247,169,LLM140,TTI_image_embarrass5.png
3,219,30,-221,-181,LLM140,TTI_image_satisfied9.png
4,-18,234,-234,226,LLM140,TTI_image_ranger1.png
5,-159,204,-218,232,LLM140,TTI_image_anger4.png
6,-242,72,242,243,LLM140,TTI_image_disgust1.png
7,-246,133,240,151,LLM140,TTI_image_contempt5.png
8,-197,29,-175,112,LLM140,TTI_image_mdisgust1.png
9,-235,-232,-243,243,LLM140,TTI_image_sad5.png
10,0,-179,-225,-206,LLM140,TTI_image_gratitude4.png
11,229,56,217,-185,LLM140,TTI_image_happy5.png
12,-204,48,-240,223,LLM140,TTI_image_guilt4.png
13,-236,-11,-239,236,LLM140,TTI_image_afraid10.png
14,68,-217,-222,-224,LLM140,TTI_image_sleepy2.png
15,71,-222,-226,-219,LLM140,TTI_image_relaxed2.png
16,-237,-49,-230,208,LLM140,TTI_image_shame2.png
17,49,203,-227,122,LLM140,TTI_image_elevation5.png
18,125,-66,-244,-79,LLM137,TTI_image_gratitude4.png
19,220,-131,46,-3,LLM137,TTI_image_happy5.png
20,-128,-60,-248,77,LLM137,TTI_image_sad5.png
21,-199,203,-232,166,LLM137,TTI_image_anger4.png
22,-171,89,-2,90,LLM137,TTI_image_guilt4.png
23,199,-95,-244,-116,LLM137,TTI_image_satisfied9.png
24,-181,98,-152,192,LLM137,TTI_image_shame2.png
25,-248,123,-151,196,LLM137,TTI_image_embarrass5.png
26,0,-181,-175,-159,LLM137,TTI_image_sleepy2.png
27,-244,150,131,145,LLM137,TTI_image_contempt5.png
28,131,-245,-245,-248,LLM137,TTI_image_relaxed2.png
29,-3,-169,-246,-144,LLM137,TTI_image_surprise2.png
30,-246,185,-1,179,LLM137,TTI_image_disgust1.png
31,-247,112,248,130,LLM137,TTI_image_afraid10.png
32,120,-245,-144,-249,LLM137,TTI_image_pride4.png
33,-181,42,-233,109,LLM137,TTI_image_mdisgust1.png
34,2,-61,-205,-183,LLM137,TTI_image_elevation5.png
35,-244,222,-212,153,LLM137,TTI_image_ranger1.png
36,114,-100,-203,-55,LLM143,TTI_image_gratitude4.png
37,-214,93,126,65,LLM143,TTI_image_contempt5.png
38,-71,116,-68,190,LLM143,TTI_image_guilt4.png
39,205,-199,-237,-164,LLM143,TTI_image_satisfied9.png
40,-99,-77,-160,181,LLM143,TTI_image_sad5.png
41,-153,191,-52,194,LLM143,TTI_image_ranger1.png
42,-249,183,106,151,LLM143,TTI_image_disgust1.png
43,173,182,100,118,LLM143,TTI_image_surprise2.png
44,189,-246,-249,-225,LLM143,TTI_image_relaxed2.png
45,-204,103,-109,191,LLM143,TTI_image_mdisgust1.png
46,-213,199,-116,245,LLM143,TTI_image_shame2.png
47,-244,192,-248,247,LLM143,TTI_image_afraid10.png
48,26,173,-61,-113,LLM143,TTI_image_elevation5.png
49,-64,248,-221,248,LLM143,TTI_image_anger4.png
50,-163,212,96,246,LLM143,TTI_image_embarrass5.png
51,199,-248,-183,-247,LLM143,TTI_image_sleepy2.png
52,248,172,241,168,LLM143,TTI_image_pride4.png
53,204,140,-183,-53,LLM143,TTI_image_happy5.png
54,-124,107,-140,53,LLM138,TTI_image_shame2.png
